Poznań Główny, DWORCOWA 1; 61-801 POZNAŃ, 52.4014439, 16.9118931
Swarzędz, DWORCOWA 24; 62-020 SWARZĘDZ, 52.4041528, 17.0744983
Września, DWORCOWA 1; 62-300 WRZEŚNIA, 52.3282031, 17.5553794
Słupca, KOLEJOWA 1; 62-400 SŁUPCA, 52.2873861, 17.8520322
Konin, KOLEJOWA 1; 62-510 KONIN, 52.2310844, 18.2540544
Koło, KOLEJOWA 1; 62-600 KOŁO, 52.2110275, 18.6320028
Kutno, 3-GO MAJA; 99-300 KUTNO, 52.2271922, 19.347845
Łowicz Główny, DWORCOWA 5; 99-400 ŁOWICZ, 52.1043258, 19.9560783
Sochaczew, SIENKIEWICZA 4; 96-500 SOCHACZEW, 52.2154597, 20.2398231
Warszawa Zachodnia, AL.JEROZOLIMSKIE 142; 00-811 WARSZAWA, 52.2200903, 20.9651803
Warszawa Centralna, AL.JEROZOLIMSKIE 54; 00-024 WARSZAWA, 52.2286969, 21.0027278
Warszawa Wschodnia, LUBELSKA 1; 03-802 WARSZAWA, 52.2512736, 21.0524594
